URLSimilarityIndex,CharContinuationRate,LineOfCode,HasFavicon,Robots,HasDescription,HasSocialNet,HasHiddenFields,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfExternalRef
14.33862939,0.6,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,2305.0,1,1,1,0,0,0,60.0,1,7.0,74,20
100.0,1.0,556.0,0,0,1,0,1,1,39.0,5,5.0,41,13
100.0,1.0,740.0,0,0,0,1,1,1,16.0,3,25.0,101,68
100.0,0.538461538,456.0,1,1,1,1,0,1,63.0,3,17.0,5,32
100.0,1.0,329.0,0,0,0,1,0,1,15.0,2,10.0,0,9
100.0,1.0,587.0,0,0,1,0,0,1,3.0,1,5.0,186,5
29.03511242,0.214285714,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
42.27385072,0.566666667,68.0,0,0,0,0,0,0,0.0,0,0.0,0,1
100.0,1.0,924.0,1,0,1,1,1,1,8.0,1,8.0,74,6
62.04044118,0.923076923,9.0,0,0,0,0,0,0,0.0,0,0.0,0,0
26.69639768,0.909090909,108.0,0,0,0,0,0,0,0.0,0,0.0,0,3
100.0,1.0,3164.5,1,0,1,1,0,1,72.5,4,16.0,185,141
100.0,0.684210526,1646.0,1,1,1,1,1,0,15.0,18,29.0,203,141
100.0,1.0,1038.0,1,1,1,1,0,1,64.0,1,2.0,100,83
38.76397107,0.666666667,198.0,0,0,0,0,0,0,0.0,0,0.0,0,2
100.0,0.666666667,271.0,1,0,0,0,0,0,3.0,4,14.0,6,1
100.0,0.666666667,498.0,0,0,0,1,1,1,11.0,4,6.0,6,29
100.0,1.0,157.0,0,0,1,0,0,1,1.0,2,7.0,8,3
100.0,1.0,3164.5,1,0,1,1,1,1,72.5,20,19.0,1,51
49.57764782,0.692307692,35.0,0,1,0,0,0,0,0.0,0,1.0,0,0
100.0,1.0,961.0,1,1,0,1,0,1,18.0,6,15.0,76,103
100.0,1.0,3164.5,0,0,1,1,1,1,72.5,1,17.0,140,73
65.8436214,0.565217391,2.0,0,0,0,0,1,0,0.0,1,1.0,1,0
22.37288136,0.35483871,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,234.0,0,0,0,0,1,1,4.0,4,2.0,2,4
18.84971743,0.235294118,13.0,0,0,0,0,0,0,0.0,0,0.0,0,1
100.0,1.0,540.0,1,0,1,1,1,1,8.0,1,3.0,28,8
44.48979592,0.444444444,2.0,1,0,0,0,0,0,0.0,1,1.0,0,0
10.03862439,1.0,7.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,183.0,0,0,1,0,0,1,3.0,1,5.0,13,7
82.09366391,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,1868.0,1,0,1,1,1,1,46.0,11,32.0,47,32
55.44711378,0.35483871,10.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,648.0,1,1,1,0,0,1,5.0,1,5.0,79,5
100.0,1.0,3164.5,1,1,1,1,0,1,42.0,1,5.0,220,101
81.14285714,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,3164.5,1,0,1,1,0,1,72.5,2,18.0,220,141
100.0,1.0,763.0,1,0,0,1,0,1,42.0,3,11.0,10,121
100.0,1.0,496.0,0,0,1,1,0,1,3.0,1,8.0,11,5
100.0,1.0,974.0,1,1,1,1,0,1,72.5,0,2.0,10,141
68.31032216,0.590909091,108.0,0,0,0,0,0,0,0.0,0,0.0,0,3
100.0,1.0,2136.0,0,0,0,1,1,1,11.0,5,22.0,95,42
100.0,0.5,3164.5,1,1,1,0,1,0,15.0,8,9.0,220,21
37.09070246,0.28,82.0,0,0,0,0,0,0,1.0,1,0.0,1,2
38.33910035,0.6,13.0,0,0,0,0,0,0,0.0,0,0.0,0,1
100.0,0.625,917.0,1,0,1,1,0,1,1.0,1,2.0,42,26
63.11637081,0.863636364,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,1374.0,1,1,1,1,1,1,18.0,11,14.0,101,92
100.0,1.0,312.0,1,0,1,0,1,1,13.0,4,2.0,37,9
100.0,0.833333333,890.0,1,0,1,1,0,1,31.0,20,13.0,42,11
100.0,0.533333333,743.0,0,1,1,1,0,1,18.0,6,11.0,0,54
16.60066895,0.264705882,13.0,0,0,0,0,0,0,0.0,0,0.0,0,1
100.0,1.0,1395.0,1,1,1,1,1,1,25.0,11,25.0,79,89
47.33727811,1.0,20.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,0.75,3164.5,1,0,0,1,0,1,41.0,16,37.5,43,15
100.0,0.666666667,1581.0,0,0,1,1,0,1,63.0,15,22.0,212,141
14.57430296,0.5,183.0,1,1,0,0,1,0,10.0,4,5.0,0,0
100.0,1.0,1794.0,0,0,1,1,1,1,21.0,20,18.0,80,39
100.0,1.0,2341.0,1,0,1,1,0,1,23.0,6,18.0,52,19
87.34693878,1.0,20.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,2654.0,1,0,1,1,1,1,72.5,4,18.0,83,18
13.5341202,0.590909091,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,642.0,1,1,1,1,1,1,22.0,4,11.0,47,62
100.0,1.0,663.0,0,1,1,1,0,1,6.0,13,20.0,65,43
100.0,1.0,393.0,0,1,0,0,1,1,4.0,1,2.0,7,1
100.0,1.0,570.0,0,0,0,0,0,1,22.0,0,1.0,60,72
100.0,1.0,1185.0,0,1,0,1,1,0,38.0,20,31.0,132,108
100.0,1.0,297.0,0,0,1,0,0,1,4.0,2,7.0,2,3
100.0,0.666666667,2541.0,1,0,1,1,1,1,15.0,2,14.0,209,8
100.0,1.0,3164.5,0,0,0,1,0,1,72.5,6,13.0,220,141
100.0,1.0,849.0,0,1,1,0,1,1,28.0,20,24.0,37,45
100.0,0.8,2124.0,1,0,0,1,1,1,72.5,2,1.0,115,8
100.0,1.0,711.0,0,0,0,1,1,1,44.0,20,29.0,56,22
100.0,0.625,3164.5,1,1,1,1,1,1,45.0,1,20.0,171,11
100.0,1.0,1029.0,1,0,0,1,1,1,18.0,5,15.0,91,29
100.0,1.0,2414.0,1,1,1,1,0,1,50.0,3,3.0,172,34
66.69538462,0.80952381,13.0,0,0,0,0,0,0,0.0,0,0.0,0,1
100.0,0.875,1832.0,1,0,0,1,0,1,38.0,3,7.0,105,21
100.0,1.0,638.0,0,0,1,1,1,1,27.0,11,13.0,46,55
100.0,0.555555556,1863.0,0,1,1,1,1,1,72.0,20,37.5,161,141
100.0,1.0,1122.0,1,0,1,1,1,1,72.5,3,4.0,99,22
100.0,1.0,3164.5,1,0,1,0,0,1,3.0,1,4.0,1,0
100.0,1.0,244.0,1,0,1,1,0,0,8.0,0,2.0,1,5
100.0,0.8,758.0,0,0,1,0,0,1,10.0,6,11.0,35,1
100.0,0.727272727,3164.5,1,1,1,1,1,1,34.0,1,23.0,220,26
51.63883735,0.470588235,3.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,0.846153846,591.0,0,0,1,0,0,0,36.0,5,8.0,48,50
100.0,0.7,895.0,1,1,0,1,1,0,15.0,14,37.5,161,141
100.0,1.0,776.0,1,0,1,1,0,1,2.0,5,10.0,2,14
100.0,0.625,644.0,1,1,1,1,1,1,11.0,4,8.0,94,44
100.0,1.0,210.0,0,0,1,1,0,1,4.0,1,6.0,54,59
100.0,1.0,357.0,1,1,1,1,1,1,27.0,4,9.0,40,9
100.0,0.619047619,982.0,1,1,1,0,1,1,16.0,3,5.0,77,79
100.0,1.0,582.0,0,0,1,0,0,1,18.0,4,10.0,52,60
100.0,1.0,1308.0,0,1,0,1,0,0,25.0,17,27.0,123,141
50.86695835,0.785714286,68.0,0,0,0,0,0,0,0.0,0,0.0,0,1
26.19272782,0.4,90.0,0,1,0,0,1,0,0.0,2,0.0,2,2
100.0,1.0,3026.0,1,0,1,1,0,1,35.0,20,37.0,220,18
100.0,1.0,2351.0,0,0,1,1,1,1,13.0,17,13.0,92,91
100.0,1.0,1081.0,0,0,1,1,0,1,72.5,2,5.0,0,28
57.90080738,0.583333333,8.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,1867.0,0,0,0,1,1,1,16.0,13,37.5,47,22
100.0,1.0,248.0,0,0,1,1,0,1,9.0,5,10.0,20,13
100.0,0.733333333,593.0,1,1,1,1,0,1,28.0,2,9.0,59,76
100.0,1.0,1563.0,1,1,1,1,1,1,18.0,9,14.0,44,48
100.0,1.0,1992.0,1,0,1,1,1,1,0.0,20,15.0,62,7
100.0,1.0,3164.5,0,0,1,1,1,1,12.0,4,14.0,54,61
100.0,1.0,1304.0,0,1,1,1,0,1,31.0,20,29.0,50,63
60.693153,0.7,8.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,783.0,1,0,0,1,1,0,2.0,3,10.0,33,27
100.0,1.0,826.0,1,0,1,0,0,1,19.0,12,15.0,112,16
100.0,1.0,931.0,1,0,0,1,1,0,4.0,2,6.0,49,6
100.0,0.8125,473.0,1,1,1,1,0,0,17.0,3,9.0,1,22
100.0,1.0,1879.0,0,0,1,1,0,1,52.0,20,24.0,38,140
82.6446281,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,0.666666667,2374.0,0,0,0,1,0,1,36.0,9,10.0,58,87
100.0,1.0,3164.5,1,0,0,1,0,1,8.0,8,12.0,84,110
100.0,1.0,947.0,1,1,1,1,0,1,29.0,4,13.0,113,120
76.58495351,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
61.58088235,0.923076923,9.0,0,0,0,0,0,0,0.0,0,0.0,0,0
36.37172516,1.0,11.0,0,0,0,0,0,0,0.0,0,0.0,0,0
26.64962,0.55,16.0,0,0,0,0,0,0,0.0,0,0.0,0,1
65.71428571,1.0,11.0,0,0,0,0,0,0,0.0,0,0.0,1,1
100.0,1.0,1496.0,1,1,1,1,1,1,14.0,20,37.5,170,141
62.22426471,1.0,37.0,1,0,0,0,0,0,0.0,1,2.0,0,2
100.0,1.0,864.0,1,0,1,1,1,1,72.5,2,5.0,175,16
100.0,1.0,3164.5,0,0,1,0,1,1,72.5,12,37.5,220,59
100.0,1.0,2588.0,0,1,1,1,1,1,72.5,20,34.0,196,141
100.0,1.0,311.0,1,1,1,1,0,1,11.0,5,9.0,1,16
32.404258,1.0,13.0,0,0,0,0,0,0,0.0,0,0.0,1,1
21.6500679,0.227272727,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
34.64285714,0.588235294,9.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,3082.0,1,1,1,1,1,1,72.5,1,4.0,220,141
100.0,1.0,2132.0,0,1,1,1,1,1,14.0,20,37.5,109,127
100.0,1.0,1012.0,0,1,0,1,0,1,38.0,12,19.0,183,141
71.42857143,1.0,41.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,437.0,1,0,0,1,0,1,10.0,6,17.0,28,42
43.1735047,0.548387097,31.0,0,0,0,0,0,0,0.0,0,0.0,0,2
100.0,1.0,2722.0,1,1,1,1,1,1,53.0,10,11.0,220,39
58.74663591,0.692307692,13.0,0,0,0,0,0,0,0.0,0,0.0,0,1
84.95350803,1.0,88.0,0,0,1,0,0,0,1.0,1,2.0,0,5
100.0,1.0,1585.0,0,0,1,1,1,0,26.0,8,10.0,47,10
100.0,1.0,3164.5,1,0,1,1,1,1,72.5,4,37.5,103,24
48.92787524,0.571428571,108.0,0,0,0,0,0,0,0.0,0,0.0,0,3
18.05814332,0.428571429,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,0.5,345.0,1,1,1,0,0,1,16.0,8,11.0,20,14
100.0,1.0,1512.0,0,0,0,0,0,0,0.0,1,3.0,1,141
100.0,0.7,642.0,1,0,1,1,0,1,4.0,2,5.0,5,30
100.0,0.555555556,449.0,0,1,1,0,1,1,1.0,11,19.0,90,10
100.0,1.0,3164.5,1,0,0,1,1,1,72.5,10,31.0,220,91
63.61273554,1.0,49.0,0,0,0,0,0,0,0.0,0,2.0,0,1
100.0,0.846153846,692.0,0,0,1,0,0,1,52.0,6,15.0,105,32
61.05860113,0.777777778,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
18.27367908,0.375,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,0.866666667,282.0,1,0,0,0,0,1,11.0,7,5.0,17,4
100.0,1.0,3164.5,1,1,1,1,0,1,72.5,1,13.0,220,128
61.21794872,0.571428571,63.0,1,1,0,0,0,0,0.0,1,5.0,0,1
68.0,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,2964.0,1,0,1,1,1,1,34.0,6,20.0,89,110
64.55209535,0.615384615,2.0,1,0,0,0,0,0,1.0,1,1.0,0,1
100.0,1.0,3164.5,1,0,1,1,1,1,4.0,6,13.0,220,141
70.06802721,1.0,27.0,0,0,0,0,0,0,0.0,0,0.0,0,2
24.19714506,0.6875,241.0,1,1,0,0,1,0,0.0,6,1.0,0,4
100.0,1.0,475.0,0,0,1,0,0,0,53.0,11,14.0,85,74
100.0,1.0,393.0,1,0,1,0,0,1,17.0,6,4.0,14,22
100.0,0.636363636,1729.0,1,0,1,1,1,1,35.0,12,20.0,107,21
100.0,1.0,877.0,0,1,1,1,1,1,17.0,18,33.0,84,89
100.0,1.0,588.0,0,0,0,1,0,0,42.0,3,9.0,17,19
69.45454545,1.0,8.0,0,0,0,0,0,0,0.0,0,0.0,0,0
56.07537362,0.785714286,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
36.87047995,0.464285714,59.0,1,0,1,0,0,0,2.0,0,3.0,1,0
58.81846154,0.65,68.0,0,0,0,0,0,0,0.0,0,0.0,0,1
100.0,1.0,1833.0,1,0,1,1,0,1,43.0,3,17.0,61,51
37.74250441,0.5625,9.0,0,0,0,0,0,0,0.0,0,0.0,1,1
46.68597561,0.388888889,108.0,0,0,0,0,0,0,0.0,0,0.0,0,3
100.0,1.0,1211.0,0,1,1,1,1,1,27.0,5,14.0,70,101
100.0,1.0,1054.0,0,0,1,1,0,1,25.0,2,21.0,23,14
39.33209647,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
78.16224529,0.7,7.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,699.0,0,1,0,0,0,1,12.0,1,1.0,2,12
100.0,0.6,1020.0,1,0,1,1,0,0,19.0,7,37.5,81,43
100.0,1.0,1069.0,0,0,1,1,1,1,44.0,17,30.0,56,19
76.47058824,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,247.0,0,0,0,1,0,1,0.0,3,1.0,26,31
100.0,0.6875,1051.0,1,1,0,1,1,1,31.0,11,37.5,11,21
100.0,1.0,593.0,1,0,1,1,0,1,18.0,4,5.0,156,141
47.73319129,0.571428571,66.0,1,0,1,0,0,0,5.0,1,4.0,1,0
100.0,1.0,165.0,1,0,1,1,0,1,5.0,4,11.0,7,12
90.08264463,1.0,9.0,0,0,0,0,0,0,0.0,0,0.0,1,1
26.44897959,0.483870968,2.0,1,0,0,0,0,0,0.0,1,1.0,0,0
100.0,1.0,2175.0,1,1,1,1,1,0,72.5,3,8.0,53,61
59.08060194,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,364.0,0,0,1,1,0,0,8.0,9,15.0,42,7
100.0,1.0,504.0,0,1,1,0,0,1,16.0,9,10.0,43,46
100.0,1.0,1784.0,1,0,1,0,1,0,60.0,20,26.0,220,37
100.0,1.0,1943.0,0,1,1,1,1,0,33.0,20,37.5,83,141
100.0,1.0,456.0,0,1,1,1,1,1,11.0,7,8.0,47,45
70.17463235,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,3164.5,1,0,1,1,1,0,39.0,4,17.0,23,27
100.0,0.7,1690.0,1,0,1,1,1,1,63.0,4,12.0,169,64
77.09213863,0.666666667,2.0,0,0,0,0,0,0,0.0,0,1.0,0,1
100.0,0.6,1898.0,0,1,1,1,1,0,28.0,20,28.0,220,141
100.0,1.0,2462.0,1,0,1,1,1,1,72.5,4,15.0,188,44
100.0,1.0,194.0,0,0,1,1,1,1,14.0,1,4.0,56,51
100.0,0.523809524,760.0,0,0,1,1,0,0,16.0,9,16.0,20,9
100.0,1.0,2258.0,1,0,0,1,1,1,26.0,20,25.0,38,21
11.05429754,0.260869565,9.0,0,0,0,0,0,0,0.0,0,0.0,0,0
20.11505654,1.0,11.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,0.7,1153.0,1,1,0,0,0,1,19.0,20,34.0,129,141
100.0,1.0,1689.0,1,1,0,1,0,0,72.5,20,37.5,0,141
94.73279508,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,815.0,0,0,1,1,0,1,43.0,3,5.0,0,1
62.09126842,0.647058824,68.0,0,0,0,0,0,0,0.0,0,0.0,0,1
100.0,0.75,678.0,1,0,1,1,0,0,33.0,4,12.0,68,46
64.0,1.0,20.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,0.625,3164.5,1,0,1,1,1,1,16.0,1,9.0,152,92
6.940373998,1.0,86.0,1,0,0,0,0,0,0.0,4,37.5,67,1
100.0,0.842105263,547.0,1,1,1,1,1,1,16.0,20,25.0,48,28
43.48290598,1.0,20.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,0.526315789,1391.0,1,1,1,1,0,1,38.0,6,9.0,120,132
72.24489796,1.0,15.0,0,0,0,0,0,0,0.0,0,0.0,0,0
64.46280992,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,855.0,1,0,1,0,0,1,38.0,6,13.0,1,6
58.42615882,0.555555556,3.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,0.714285714,3164.5,0,0,0,1,0,1,72.5,20,37.5,220,141
61.02817598,0.620689655,4.0,1,0,0,0,0,0,0.0,1,1.0,2,1
47.9947403,0.428571429,11.0,0,0,0,0,0,0,0.0,0,0.0,1,1
100.0,0.666666667,1879.0,1,0,1,1,0,1,34.0,1,9.0,42,24
52.94117647,1.0,13.0,0,0,0,0,0,0,0.0,0,0.0,1,1
100.0,0.875,482.0,0,1,1,1,0,1,27.0,8,12.0,69,72
100.0,0.8,934.0,1,0,1,1,0,1,51.0,6,19.0,33,94
100.0,1.0,3164.5,1,0,1,1,1,1,72.5,20,37.5,156,117
100.0,0.769230769,688.0,1,0,1,1,0,1,12.0,14,31.0,124,111
100.0,1.0,2263.0,0,1,1,1,1,1,28.0,20,37.5,149,141
38.64393494,0.434782609,2.0,0,0,0,0,0,1,0.0,1,1.0,0,1
57.4401591,0.542857143,141.0,0,0,0,0,0,0,4.0,0,0.0,0,3
100.0,1.0,3164.5,1,0,1,1,0,0,72.5,4,7.0,220,141
100.0,1.0,463.0,0,1,0,1,1,1,21.0,1,8.0,16,11
100.0,1.0,436.0,1,1,1,1,0,1,10.0,12,16.0,35,9
100.0,1.0,1270.0,1,0,1,1,1,1,48.0,20,20.0,220,55
41.57380569,0.317073171,108.0,0,0,0,0,0,0,0.0,0,0.0,0,3
100.0,1.0,1293.0,1,0,1,1,1,0,39.0,3,9.0,107,8
100.0,0.571428571,3164.5,1,1,1,1,1,1,26.0,3,24.0,213,141
100.0,1.0,491.0,1,0,1,0,1,1,1.0,1,37.5,31,77
100.0,0.75,1980.0,1,1,0,1,1,1,72.5,4,11.0,60,127
100.0,1.0,2996.0,1,0,1,1,0,0,58.0,12,21.0,129,113
45.19223147,1.0,9.0,0,0,0,0,0,0,0.0,0,0.0,1,1
19.88271469,0.636363636,11.0,0,0,0,0,0,0,0.0,0,0.0,1,1
100.0,1.0,1167.0,0,0,1,1,1,1,14.0,20,37.5,59,19
100.0,1.0,998.0,1,0,1,0,1,1,0.0,7,9.0,83,99
100.0,1.0,1780.0,1,0,1,1,1,1,54.0,15,34.0,78,33
100.0,1.0,714.0,1,0,1,1,0,0,31.0,2,7.0,24,10
100.0,1.0,1351.0,1,1,1,1,0,1,52.0,5,8.0,137,31
48.84353741,0.666666667,8.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,1590.0,1,0,1,0,1,1,65.0,3,5.0,104,141
11.30864198,1.0,121.0,0,0,0,0,0,0,0.0,0,0.0,0,0
58.9047619,0.6875,16.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,1146.0,1,0,1,1,1,1,40.0,4,11.0,46,60
100.0,1.0,1187.0,0,1,1,1,1,0,20.0,20,37.5,220,141
100.0,1.0,1351.0,0,1,1,1,1,1,50.0,13,27.0,83,95
44.88095238,0.5625,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
61.46848603,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,1203.0,1,1,1,1,0,1,17.0,7,10.0,2,57
59.11111111,0.454545455,108.0,0,0,0,0,0,0,0.0,0,0.0,0,3
64.27240143,1.0,64.0,0,1,1,0,0,0,0.0,2,8.0,3,1
100.0,1.0,3164.5,1,0,1,1,1,1,72.5,3,34.0,144,31
100.0,1.0,536.0,1,0,0,1,1,1,12.0,20,23.0,71,26
100.0,0.384615385,1776.0,0,0,1,1,1,1,72.5,20,9.0,220,121
100.0,1.0,349.0,1,0,1,1,0,1,10.0,4,16.0,22,26
73.29434698,1.0,9.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,0.666666667,871.0,1,0,0,1,1,1,3.0,20,19.0,112,38
100.0,1.0,1089.0,1,1,1,1,0,1,32.0,5,3.0,155,141
54.89866535,0.433333333,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,799.0,0,0,1,1,1,0,18.0,4,3.0,12,11
100.0,1.0,589.0,1,0,0,1,1,1,30.0,1,6.0,67,29
63.90532544,0.772727273,108.0,0,0,0,0,0,0,0.0,0,0.0,0,3
